Polarity,Text
neutral,انا حبيت الماكسيما و دخلت مزاجي و لكني متخوف من العيسي الوكيل و أيضا من بترومين.
negative,"العيسى متعب من ناحية الضمان, عندي التيما 2017 فيها مشكلة في شريحة الدركسون اخذت شهر حتى تأتي موافقة الضمان و باقي منتظر وصول القطعة."
positive,معي كامري و صراحه الوكيل كخدمة و  قطع غيار أعطيه جيد جيدا. لا بأس فيه.
positive,صيانة العيسى ممتازة جدا في الصيانة السريعة.
positive,نصيحة خذ الموتر من بترومين يا أخي ما شاء الله القطع متوفرة و الشغل ممتاز و فروع الصيانة الدورية موجوده في كل حي.
positive,الشيء الممتاز إن عندك وكالتين و بترومين فتح فرعين صيانة و الصيانة الدورية في كل مكان.
negative,انا انصحك تبعد عن أي سيارة قيرها CVT. للأسف القير هذا سيء جدا و كثير الشكاوي عليه.
negative,أحب أفيدك بأن العيسى أفشل وكيل و عليه كثير من الشكاوي.
negative,"تفاجأت إن الموتر ينقص علبة أو أكثر كل 1000 كلم, و بعد بحث في النت حصلت كذا واحد يواجهون نفس المشكلة."
negative,"نفس المشكلة, عندي هايلوكس 2013 تنقص من نص علبة إلى علبة كاملة."
negative,بيتعبك قطع غيارها و صيانتها.
positive,سيارة ممتازة عن تجربة مدة سنتين تقريبا و ماشيه الآن معي 170 الف كيلو. السيارة اعتمادية لابعد الحدود و سعرها في متناول الجميع.
positive,اوبتيما نص فل سقف حديد هي الخيار المناسب و سيارة تكد عن تجربة مو قيل و قال.
positive,انا أرشح لك مازدا C6 عملية و ممتازة و تلبي طلباتك و قطع غيارها مناسبة.
neutral,موتر طيب جدا و ما يحتاج. صح إنه قطع غيارها لسعة و غالية. بس عندهم ضمان قوي و صيانة مجانية.
positive,عملية ما شاء الله و لا تأكل عليك قطع و أشوفها خيار طيب.
neutral,تايوتا شركة كبيرة و سياراتها ممتازة و ما يختلفوا اثنين عليها. لكن وكيل الغفلة خلاها من أسوأ السيارات بتشليحه و ترهيمه و أسعاره الغير منطقية.
negative,و الله حرام ممشاه 112 و فل كامل و تخبط مكينته.
negative,انا احد من مئات الملاك للجينسيس المتضررين من كفراتها اللي غير مناسبة لشوارعنا.
positive,"فيه ثلاث مميزات أشوفها لصالح التورس بحكم تجربة, رساوة, عزل, راحه."
positive,الفورد ما فيه مثله يكرف كرف الويل.
neutral,الاكورد صبورة و تتحمل و متماسكة بس ما هي مريحة.
negative,التورس يتفكك و يتهربد.
negative,معلومة بسيطة الهايلكس 2016 يشرب بنزين شرب.
positive,وارد الساير أجمل مواصفات و افضلها و كل شيء من الشركة الام.
positive,SLE مواصفاته حلوة مثلا مرتبتين كهرباء، إشارات ليد أمامي و خلفي، سفط مرايا.
positive,المحرك الجديد اقتصادي و قوي.
positive,الموديل الأخير صراحه عجبني كشكل.
positive,تحمله للحفر و الحجار في الموديلات السابقة ممتاز جدا و الجديد إن شاء الله ممتاز.
positive,نصيحة لا تاخذ إلا دبل من جميع النواحي افضل و أهمها عند البيع مرغوب.
positive,الموهافي أقوى منه و أكثر مواصفات و بسعر أقل و ضمان خمس سنوات مفتوح.
positive,خذ لك موهافي يا رجال، انا مستخدمة من سنين، سيارة و لا أروع، و إمكانيات تفوق تصوراتك، قوة و عزم و اعتمادية و فخامة، و سعره وكالة 2017 بـ ـ82 ألف فقط.
negative,الاربعى سلندر تعبان جدا و عزمه ضعيف. صدقني لو اضطريت و سافرت عليه مره إن تكره اليوم اللي شريته.
positive,الباجيرو افضل منه شكلا و سعرا و راحه و كل شيء.
positive,مجرب 4 سلندر بدون دبل اوتو 2013 عزمه جيد جدا.
negative,من ناحية الراحه ما هو مريح إطلاقا لأن الحفر اللي انت خايف منها بتحس بها دبل السيارات الثانية.
neutral,الفورتشنر شاصيه و مكينته مثل الهايلوكس و نظام التعليق قاسي و غير مريح. شكليا جميل.
negative,بخصوص تجربتي للكوري مكيفاتها سيئة جدا.
positive,الراف فور مجرب و الله سيارة عال العال حتى اذا فكرت تبيع بعد فترة يجيب سعر كويس.
negative,السوناتا مكيفها في ظهرية الصيف ما ينبغى ما غير هواء بس و تصرف بنزين عالفاضي.
positive,انا قد جربت مكيف الاوبتما الجديد صراحه ممتاز.
positive,الاوبتيما افضل من السوناتا في التكييف.
positive,"اللكزس حلوة و ممتازة و ما فيها مشاكل للقير بس حافظ عليها, و سيارة ناعمة و فخمة و حقت كرف."
positive,عزمها طرب ما شاء الله و لا تشكي من شيء الحمد لله.
negative,بشكل عام مكيفات هونداي و كيا من 2011 صارت ضعيفة بالتبريد و كثيرة الأعطال.
neutral,السيارة طيبة و مريحة جدا و عزمها ممتاز . لكن فعلا التانكي صغير مع إن الصرفية لا بأس بها . هذي الملاحظة الأولى و الملاحظة الثانية عزل الهواء سيء نوعا ما.
positive,ما شاء الله تبارك الله تصدرت على كل السيارات من جيلها و ما قبل جيلها بقوتها و صبرها.
neutral,سياراتهم حلوة و أسعارها ممتازة مقارنة بغيرها. بس خل السيارة تخرب مره وحده و شوف كيف يكرهونك اليوم اللي فكرت تشتري سيارة هم وكالتها.
positive,انا أشوف قطع غيارها مو غالية و مناسبة أسعارها.
negative,مشكلتها مكينتها غالية جدا.
negative,"ال 6 سلندر مشاكله كثيرة, اذا بتغير بواجي لازم تفك الثلاجة و هلم جرا."
positive,"ليه يا الغالي ما تحط من ضمن الخيارات امبالا, روعة و أقل سعر. الله يختار لك الخيرة الطيبة."
negative,الافالون مشكلتها بأي لحظة ممكن تتغير و جودتها مو مثل موديلات 2012 و نازل و الديكور جودته أقل و السيارة ضيقة نسبيا.
negative,الأكورد قيرها ال CVT مشاكله كثيرة و صيانتها صعبة جدا.
neutral,الدفع الرباعي ممتاز لكن جوده السيارة جدا سيئة من خلال تجارب.
negative,معي سيارة سنتافي 2013 و انا امشي طلع صوت طقطقة داخل الكبوت و دخان من تحت لونه أزرق.
negative,الموهافي شكله قبيح جدا و لا يستاهل سعره.
neutral,الفورتشنر لا عزل و لا راحه و لا رساوة و لا أمان. بس حلاوتها بالبر.
positive,الموهافي اريح من الفورشنر و لو اخذت فل كامل فيه مواصفات جميلة و جبار.
positive,الموهافي سيارة أثبتت جودتها كان معنا واحد موديل 2012 بعناه و هو ماشي 120 الف و ما زال إلى اليوم مع الشخص اللي بعناه له.
negative,بالنسبة لي أستبعد الفورتشينر بسبب المبالغة بالسعر و غير مريح أبدا بحكم تجربتي القديمة و الجديدة لسيارة أخوي.
positive,"الكوري يوم عن يوم و سنة عن سنة يثبت إنه بالسوق ما له منازع, اقتصادي و سعر منافس و مواصفات جميلة خصوصا الفئة الفل."
positive,فيه عندك الباجيرو مكينة 3800 الفل ياباني و ممتاز و سعره حلو.
positive,"السيارة قوية جدا و شريتها. ممشى السيارة معي الآن 21 الف و كل يوم عن اللي قبله أقتنع أكثر من ناحية القوة و التحميل, و الموتر ما يختلف عزمه مهما حملت عليه."
positive,معروفة محركات الديزل للعزم و التحميل أكثر كفاءة و قوة.
neutral,انا معي جمس سييرا 14 ممتاز في الخط لكن يناقز شوي.
positive,سيارة كرف ما يبي لها كلام و قطع غيارها متوفرة و كلن يعرف يصلحها.
positive,سيارة صبورة و مكيفها بارد للغاية و صرفية الوقود افضل من هايلوكس.
positive,سيارة تستحق الإقتناء و أكبر دليل كثرة شعبيتها.
neutral,الددسن من تجربة حمار مكده بس عيبه الديكورات تتهربد بسرعة و تزعجك بالقرقعة.
negative,الددسن صارت دقة قديمة و آخر إصدار لها 2016، تصميم قديم كلاسيكي، أكبر عيوبها ضيقة جدا.
positive,سيارة روعة و قوية.
neutral,"المنتيرو الخلفية سيئة, لكن المقدمة و الداخلية جميلة و فيها قليل من العصرية."
negative,"مستحيل اتحمل قباحة الباجيرو و شراهته للوقود, بالوعة وقود."
positive,قطع غياره متوفرة و تقنياته بسيطة و أنشط من المونتيرو و أقل سعرا.
positive,اللي لاحظته من مواصفاته المونتيرو الجديد افضل صرفية و عزم.
positive,بصراحه قوة و مواصفات المونتيرو خيالية بسعر ممتاز جدا.
positive,"المونتيرو شدني إليه سعره مقابل مواصفاته, و كذلك منتج من شركة عريقة مثل ميتسوبيشي. و كما تعرفون الواحد وده يستمتع بمواصفات الموتر اللي يشتريه."
positive,أشوف الجنسس افضل بحكم الموديل و توفر القطع و له ثلاث وكلاء.
negative,الكامري بالأمانة سعره مبالغ فيه.
positive,"الجنسس أرسى بالخط, دفع خلفي, تحصل القطع في أي مكان, أوسع و أفخم من الداخل."
positive,و الله اذا يهمك الكشخة و الشكل خذ جنسيس.
positive,الجنسس حلوة و فخمة و قطعها متوفرة. أرشح الجنسس.
positive,الكامري تكد للنص مليون.
positive,محركات الديزل بشكل عام تعمر و تعيش و أكثر اقتصادية.
negative,ثقيل جدا و قطع غياره نار و نادر تلاقي احد يعرف له.
negative,"مشكلة الديزل الطرمبه غالية, اذا تعطلت الله يعينك."
neutral,"و الله إنها مواتر, عز الله توفير و لا تعرف خرابات و لا شيء. لكن مشكلتها الصوت و البطء و عداداتها تخرب بسرعة."
neutral,صح إنه موتر خدوم و يتحمل بس بالمواصفات وا لأمان و الشكل صفر.
positive,"سيارة افضل برأيي, مكينة أكبر و داخلية أوسع و أداء افضل."
positive,الحين مع الشكل و التغييرات الجديدة للازيرا بيكون وضع الشركة افضل و افضل و الفائدة بالنهاية للمستهلك.
neutral,كل شيء حلو في السيارة ما عدا مكان الساعة الأغلبية اتفقوا علي أن تصميمها غبي و مشوه داخلية السيارة.
positive,"نصحك بالاكسبدشن الطويل أرخص, أقوى عزم, صيانة مجانية لغاية 60 الف."
negative,مع العلم إني مقاطع الوكالة بسبب صيانتهم السيئة و اللي تتاخر.
negative,طبعا استبعدت السوناتا بسبب المكيف بحكم إني ساكن بالمدينة و معروف جوها.
negative,جاء على بالي الإنوفا و لكن سعرها غالي علي حبتين و لو ضغطت نفسي راح انزنق.
positive,الانوفا ممتازة و تتحمل الكرف.
positive,الاينوفا أشوفها خيار ممتاز بحيث إنها وسيعة و مرتفعة عن الأرض.
negative,و ربي إنها ضيقة و مقاعدها ناشفة. قعدنا 3 في المقعدة الوسطية و متحاشرين.
positive,فكر في الكامري خدومة و ممتازة.
neutral,الراف فور تراه حق كرف و يستحمل و عيبه الوحيد التانكي صغير يعني يمشيك 390 كيلو .
positive,سعر الكيا سيراتو الجديدة 2016 في المعارض رخيص يعني حو الي 36 الف.
positive,السيارة جيدة و تستحق الشراء للشخص اللي قيادته هادئة و يحافظ على السيارة  و لن يحتاج قطع غيار كثيرة، و راح تمشي معه 7 سنوات على الأقل.
negative,طبعا الوكيل سيء جدا لا تعتمد على ضمان الوكيل، لأنه يحاول يستبعدك بأي طريقة من الضمان، و إن عملت عنده صيانات نهب ما في جيبك، و إن تركت الصيانة عنده يلغي ضمانك، و يترصد لأي شيء تركبه على السيارة ريموت أو قطعة أخرى يحاول يلغي الضمان.
positive,السيارة بالنسبة لفئتها تتفوق بالعزم. مواصفات ممتازة جدا من جلد و بانوراما و رادار.
positive,الموهافي اريح و أوسع ما فيها كلام.
positive,الدبل في الباجيرو أقوى و أكثر اعتمادية.
positive,خذ الموهافي لأنه وسيع و مريح.
positive,اذا حاط في بالك بتطلع البر عليه فخذ باجيرو لأنه أقوى.
negative,خالي عنده باجيرو 16 تندم إنه اشتراها. ما ارتاح فيه من ناحية عزل الهواء.
negative,ما أرتاح له. خصوصا قطع الغيار نار. غالية جدا.
positive,ما بعد البيع باجيرو ارغب للمشتري.
positive,جيب المازدا خيار ممتاز جدا ليش ما فكرت فيه. الآن عليه عرض ب 90 موديل 2016.
positive,الموهافي افضل من جميع النواحي الاعتمادية و الراحه و القوة.
positive,من ناحية الصرفية و الراحه أكيد هو الافضل.
neutral,الباجيرو عندي. حق كرف بس مو مريح.
neutral,مكيفه بارد. بس عيبه القساوة و صرفية البنزين.
negative,من تجربتي للباجيرو أرى أن عزل الهواء ضعيف نسبيا.
positive,أكيد الموهافي اريح و أوسع.
negative,ترى الباجيرو قاسي و يصرف بنزين و مكيفه مو ذاك الزود.
positive,الكيا انا جربتها. عزمها بطل.
negative,الموهافي قاسي جدا و غير مريح.
positive,الموهافي يتفوق على الباجيرو في العزم بكثير.
positive,الموهافي سيارة قوية و تتحمل و أعطالها قليلة حسب كلام مستخدميها.
positive,انا عندي باجيرو 2016. الصراحه سيارة ممتازة و صرفها للبنزين ممتاز و المكيف و لا أروع و مشيها قوي و ثابتة في الشارع.
positive,انا من مؤيدي الباجيرو و انا استخدمها شخصيا. سيارة قوية على الطريق و ممتازة.
positive,الباجيرو أجود صناعة و أقوى.
negative,العيب الوحيد هو الوكيل لعدم توفر أغلب القطع إلا بالطلب.
negative,الصيانة لدى الوكيل متعبة جدا.
neutral,الباجيروا ياباني و جميل و لكن الكل يشتكي من صغر تانكي البنزين و شربه للبنزين.
positive,"هالسيارة جربتها مره لصديق لي و كانت مريحة جدا, و فيها عزل الصوت ممتاز و اقتصادية, و ميزتها 3 مقاعد. حتى ديكورها الداخلي جميل جدا."
negative,أول موديل كان فيه مشاكل و عيب مصنعي بالقير.
negative,هذه السيارة موديل 2008 و راح تتعبك في الصيانة بعد مرور كل هذه السنين.
positive,الفئة الثالثة من موديل 2006 إلى 2011 سواء 4 أبواب أو سبور كانت من أنجح سيارات BMW و أعلاها مبيعا على مستوى العالم لعملانيتها.
positive,الكامري صرفيتها معقولة.
negative,عامل الوزن و تصميم السيارة غير انسيابي لذلك تأثرت صرفية البنزين.
positive,"اكستريل السعر أرخص, المواصفات أعلى, الشكل أجمل."
positive,خذ المرسدس قطع غيار افضل و تحمل أحسن.
positive,الونيتات الامريكية راسية و ثقيلة على الخط.
positive,الموتر مريح و المكينة جبارة.
neutral,هو اريح من الشاص و أرسى ما فيها كلام لكن يبقى ونيت بيكون فيه قساوة و مناقز.
positive,اذا تبغى راحه و غمارة دور لك على تندرا اريح من السييرا.
positive,أعتقد سعره مناسب و الله أعلم.
negative,يوم إتصلت على توكيلات الجزيرة طلعت المواصفات غير متوفرة عند الوكيل.
neutral,المازدا حلوة لكن اللي قريته إن سعرها طاير في العلالي.
negative,الاكسبلور كله خرابات و القطع غالية عن تجربة.
negative,البايلوت غالي جدا مقارنة بفئتها.
positive,أي شيء هوندا خذه و انت مغمض. دقة و ثبات و عصرية.
positive,سمعت إنها على 88 بالمعارض و بالتالي هي افضلهم سعرا.
positive,"البايلوت جو ثاني, عالم آخر. هدوء و رساوة و راحه و قيادة بطلة. و اذا أخذتها فل ما شاء الله تبارك الله موتر قادح الافضل في فئته."
negative,بسبب غلاء سعره بشكل مبالغ فيه فوق ال 240 ألف شلت الفكرة.
positive,"الفورد هو الأكثر أمانا, الأقوى و الأكثر راحه."
positive,انا أرشح لك الاكسبلورر. أشوفه منتشر بكثرة ما شاء الله.
positive,أرشح البايلوت الافضل بينهم شكلا و مكينة 6 سلندر.
negative,الموتر ضعف عزمه و تفتفة و رجة ما هي طبيعية.
positive,مكيفها ما شاء الله ثلج في عز الظهر. عزلها يعني كويس ماشي حاله.
positive,ما شاء الله السيارة واسعة من الداخل و الداخلية ممتازة و فيها مانع انزلاق و فيها وضعية القيادة تغيرها اذا تبي اقتصادي أو سبورت.
positive,انا عندي اوبتيما 16 توني مطلعها قبل خمس أيام بالضبط. من ناحية الراحه و الهدوء فهي مريحة لابعد حدود و فخمة بنفس الوقت.
positive,"أقل فئة فيها أنظمة أمان عالية نوعا ما و العزل ممتاز نوعا ما, و الفرامل فوق الممتاز و التكييف افضل مكيف كوري شفته لحد الآن."
positive,يعجبني فيها تصميمها الراقي و الهادي. علما أن السيارة اللي ماخذها وارد البريمي ستاندر 2000 سي سي و فيها مواصفات حيل حلوة.
positive,انا اختار لك الصني صراحه ممتازة و تكرف و القطع رخيصة مره.
positive,"بالمبلغ اللي معك بتحصل اكسنت تماتيك 2010 قطع غيارها رخيصة, عملية, ما تصرف بنزين."
positive,"الصني ممتازة بكل المقاييس, عملية و رخيصة و مكيفها ممتاز."
positive,"الايجابيات رخص سعر السيارة, حقت كرف من جد."
positive,"السلبيات لا توجد جنوط حتى للفل, المسجل فقط كاسيت, خشنة في المطبات, صغيرة من الخلف."
positive,انا أرشح الصني ممتازة جدا و عملية افضل من اليارس.
positive,"توكل على الله و خذ لك الصني, سيارة جبارة و مكيفها حلو و قطعها رخيصة."
positive,دور لك اكسنت من 2009 و تحت قطع غيارها رخيصة و حقت كرف.
positive,"الفل يجي فيها رادار, جنط 19, سماعات بوز و مواصفات حلوة صراحه."
negative,السيارة قاسية و ضيقة من الخلف و الاستاندر ما يجي فيه مكيف خلفي.
negative,المازدا وكيلها سيء و قطعها مو كلها متوفرة بعضها طلبية و غالية نوعا ما.
positive,"السوناتا حبيبة الكل, الوكيل بدال الواحد ثلاثة و القطع كلها موجوده و تبغاها من برى الوكالة موجوده و تبغاها تجاري موجوده."
positive,المازدا قطع غيارها أرخص من كل الشركات اليابانية.
positive,"المازدا 6 خيار افضل, محرك افضل, صرفية وقود افضل, أمان افضل."
positive,ما تتفوق به السوناتا هو حجم المقصورة الداخلية افضل بالسوناتا.
positive,المكسيما قوة و شكل جميل.
negative,عندنا دمرها الوكلاء و خاصة الحمراني شوه سمعتها و جاء بعده العيسى اللي مجهوده ضعيف جدا.
negative,نيسان قطع غيارها نسبيا أغلى و كل شوية ياخذها وكيل.
positive,"الآن انا أشوف إن الالتيما ممتازة, أقوى 4 سلندر بدون تيربو و افضل اقتصاد بنزين و مقاعد مريحة و تشغيل عن بعد و دخول ذكي و بسعر منافس جدا."
positive,ميزة النيسان جوده التكييف و مواصفات الأمان بأقل فئة.
positive,نيسان خذ مكائن عزم و توفير وقود خيالي و مكيفات جبارة.
neutral,وسيعة من الداخل و لكن وكيلها تعبان جدا و الله تتعب في القطع.
negative,الوكيل بطيء من ناحية تغطية كل المناطق بفروع الصيانة و قطع الغيار.
positive,هي مغرية للشراء من ناحية السعر مقابل المواصفات و تتميز بتسارعها و عزمها و اقتصاديتها في البنزين.
negative,مشكلة نيسان إنها مظلومة في الوكيل و كذلك تخوف الناس من قير ال CVT.
neutral,الالتيما تكرف كمجرب. عيبها خفيفة و الديكورات تتفكك.
negative,قير السي في تي نيسان بدأت فيه بشكل استعراضي و من كثر مشاكله خافت الناس و ما له صيانة أيضا.
positive,"أكيد الفورتشنر لا يعلى عليه, من أكثر السيارات اعتمادية."
neutral,الباجيرو موتر ممتاز و قوي لكن أظن إن قطع غياره مرتفعة شوي.
positive,"يوكن 2006 اعتمادية,كرف, تحمل, رخص صيانة و قطع غيار."
negative,بيكسر ظهرك في السفر لا راحه و لا رساوة صفر على الشمال و قلبته بريال.
negative,"الفورتشنر غير موضوع الانقلاب ترى مكيفه أخيس مكيف مر علي في حياتي ما يبرد إلا درجة خفيفة جدا اتكلم على وقت الظهر طبعا, و سعره غالي و ما فيه مواصفات و غير مريح."
negative,انحش من فورد اكسبلورر اذا فتح ثمه بيكلفك مبلغ و خراباته واجد.
negative,الفورشنر مبالغ في سعره.
positive,انصحك في الامريكي سفر و راحه و أمان بعد الله.
negative,الجمس 2007 ترى عيوب القير فيه واجده.
positive,أرشح لك الكابرس لأنه الافضل من ناحية أسعار قطع الغيار و العزم و التحمل.
positive,الكابرس و خصوصا من بعد 2011 أصبح موتر يعتمد عليه من ناحية كهربائية و ميكانيكية و تبريد.
neutral,قطع الغيار متوفرة لكن مب رخيصة.
negative,السيارة مشكلتها الوكيل ما يساعد على اقتناءها و لا يوفر خدمات ما بعد البيع بشكل كبير.
neutral,السيارة كشكل ممتاز لكن الراحه لك عليها شوي و الموتر حساس.
positive,"الكابريس صيانته أسهل, قطعه منتشرة أكثر, متوفر بالتشاليح بكثرة و قطعه رخيصة."
neutral,السيارة ممتازة. عيبها الستاندر ما فيه مواصفات كثير.
positive,جيب مريح للسفر و موفر للبنزين و سعره معقول و منتشر أكثر من غيره من نفس الفئة.
negative,انا عندي مشكلة انو لما أمشي على سرعة 150 يطلع صوت في وسط الطبلون كأنه صوت ونونة أو هزهزة و الله ما أدري كيف أوصفه فكيف أتخلص منو.
positive,سيارة مريحة و ناعمة و عزلها يتفوق على سيارات كثيرة.
neutral,لكزس شركة عريقة من افضل الشركات لكن أسعارهم مرتفعة.
neutral,شوف الألماني بشكل عام جودته ممتازة لا غبار عليها لكن المشكلة في توفر قطع الغيار.
negative,ابتعد عنها لعدم توفر قطع الغيار و الصيانة.
negative,بالنسبة لقطع الغيار ابتعد تماما عن الوكالة لأن القطع فيها غالية جدا.
positive,الشبح و الفياجرا  قطع غيار ها في الدكاكين رخيصة جدا بل أرخص من التويوتا لأن الموجود فيها قطع درجة ثانية لكن ألماني بدرجة ممتازة.
negative,الألماني معروف كل ما كان الموديل جديد ارتفعت أسعار قطع الغيار لأنها لا تتوفر إلا في الوكالة.
negative,البي ام الشكل الأخير من 2009 أسعار قطعها غالية و ليست رخيصة.
positive,خذها مني نصيحة توكل على الله و اشتر مرسيدس E CLASS موديلات 1998-2002 جوده و رساوة و عزل جيد و قطع غياره رخيصة و تحصل له قطع مستعملة.
positive,للخطوط ممتازة جدا. كرساوة و عزل افضل من الموديلات الجديدة و المكيف ثلج بما تعنيه الكلمة.
positive,القطع رخيصة نسبيا و أرخص من الامريكي و الياباني بحكم إمتلاكي لهذه السيارات.
positive,عندنا اثنين اكسنت الشكل القديم عند خيلاني كارفينها كرف ما شاء الله تبارك الله.
positive,الاكسنت قطعها رخيصة و تتحمل و تكد كد الحمار.
positive,من ناحية العزم الاكسنت افضل.
negative,اليارس غالية قطع غيارها.
negative,الاكسنت مكيفها مع الوقفه يضعف و مراتبها تدمر ظهرك أقسى من اليارس.
positive,اليارس افضل في المكيف.
positive,خذ الشكل الجديد أجمل و أوسع.
positive,اذا حاب الأكسنت خذ الشكل الجديد شكل و مواصفات أعلي.
negative,اليارس مكينتها 1.3 للستاندر أضعف من الاكسنت في الأحصنة و العزم و الشكل قبيح.
negative,كتصميم داخلي و خارجي ما تعجبني.
positive,اليارس أحسن من ناحية الفرامل لوجود نظام ABS و صرفية البنزين أحسن من الاكسنت.
neutral,اليارس افضل من ناحية الموديل احدث و أوسع من الداخل. لكن يعيبها صوت المحرك اللي كأنه صوت دباب.
positive,السورنتو 6 سلندر الشكل الجديد 2016 دبل ب 75 الف نص فل في المعارض. صراحه سعر مغري جدا.
positive,أما عن الشكل انا مقتنع بشكلها أكثر من السنتافي. أحس هذي أرسم و أجمل.
positive,"انا مجرب الكيا موهافي في التكييف لمدة 4 سنين تقريبا, و الله مكيفه جدا جبار و أشوف إنه افضل من مكيف اليوكن."
negative,ركبت مع خويي عنده كادينزا 2012 يشتكي من التكييف فيها.
negative,مكيفات الكوري الجديد مع الوقفة في النهار تضعف.
positive,النيسان تكييفه جبار كلن يشهد له.
positive,السيارة حلوة و سعرها ممتاز.
negative,ما أفكر في التويوتا نهائي. أسعارها غالية على قلة مواصفات.
neutral,السوناتا بتعجبك بأمور كثيرة منها الجوده و قطع الغيار رخيصة و ثابتة و مواصفات واجد و نشاط. لكن ترى المكيف أقل من الكامري و هذا عيب الكوري.
negative,اخوي كان عنده سنتافي و كان يشتكي بقوة من صرف البنزين.
positive,"سيارة ما شاء الله تبارك الله ممتازة جدا و مكيفها ثلج ما شاء الله, خفيفة و لذيذة بالسواقه, جميلة بالشكل."
positive,السوناتا الجديدة ممتازة و جودتها عالية مع ابن عمي وحدة و ما شاء الله من أجمل ما رأيت.
positive,"الحمد لله قبل شهر غامرت و اخذت سوناتا 17 و الحمد لله ما ندمت, مواصفات مقابل السعر و السيارة ما شاء الله مريحة بالخط و راسية و مطبها ناعم."
positive,"سوناتا 2017 نص فل بانوراما, جنط 18,  شاشة صغيرة, جلد ب 78 الف. على السعر و المواصفات مغرية."
positive,انصحك بالكادينزا رخيصة و فخمة ما شاء الله.
positive,سألت عن قطع غياره معقولة نوعا ما أسعارها.
positive,السيراتو افضل سمعة و قطع الغيار أرخص و الصيانة أسهل.
positive,ليش ما تاخذ لك كورو لا 2010 أو 2011 اعتمادية أكثر و صبورة و منتشرة أكثر.
positive,بطلة جدا و فيها أمان و تكنولوجيا افضل من الالنترا.
negative,في واحد من الشباب جربها يقول الرساوة ماش.
positive,الكوريلا افضل من حيث العزم و الرساوة و الوسع.
negative,"سيارة غير عملية بيطفش منها بسرعة, من الداخل جدا صغيرة."
neutral,هي شكلها شبابية و تكييفها ممتاز. بس ضيقة جدا من الخلف و السقف قريب من رأس المقعد الخلفي يعني ما تنفع واحد معه أصحابه أو عائلة.
positive,السيارة من ناحية عملية كويسه مع خوينا 2013 ما شاء الله من شراها ما حط فيها ريال.
positive,فكر بالهايلكس ترى خدومة جدا .
positive,الددسن افضل بواجد و قطعها متوفرة و رخيصة.
neutral,فيه عزم و نشاط و تحمل بس صيانته صعبة و قطعه غالية.
neutral,الهايوكس ما اختلفنا افضل لكن سعرها نار و مبالغ فيه.
positive,الددسن افضل من ناحية التحمل و القطع.
negative,الهايلوكس فشل باختبار الثبات بالمنعطفات يعني أي لفة تروح فيها.
positive,الدتسن معروف و بشدة إنه كريف كرف الويل.
positive,"الايسوزو ناجحة و سيارة اعتمادية بدون شك. انا بشوف إنها افضل, شكل حديث, و أجمل و سيارة متطورة."
positive,سوناتا لا بأس فيها و أرخص قطع و منتشرة أكثر.
positive,اكيد سوناتا 2005 إلى 2010 الدفعة الأولى من أجود ما صنعت هونداي بس افحص و جرب. و هو خيار افضل من الإثنين بمراحل.
negative,اللومينا انحش منها مشاكلها بالكهرب بتوجع رأسك.
negative,الومينا أعطالها كثيرة و ما ينشد بها الظهر.
negative,المازدا قطع غيارها غالية.
positive,اذا تبحث عن مواصفات أكثر و سعر أقل اشتر تاهو.
negative,صراحه جوده السيارة من الداخل سيئة جدا يعني بلاستيك أو مدري ايش هي المواد المستخدمة و لكنها جدا سيئة.
positive,سيارات تتحمل و جودتها و سعرها عند البيع و توفر قطعها افضل بمراحل.
positive,كإستخدام انصحك فيها بصراحه ممتازة و حلوة و عملية.
negative,ما عليها اقبال لأن سعرها مرتفع.
negative,غالية على قلة سنع.
negative,هذه السيارة مع الأسف غير متوفرة لدى وكيل السعودية.
positive,المميز فيها الاستاندر مواصفاتها جبارة.
neutral,"عزل الهواء ممتاز جدا, لكن يعيبها صوت الزفلت مع الخطوط مزعج جدا."
negative,يعيبها المقاعد الخلفية تاخذ 3 بالكثير.
positive,"سيارة ممتازة, جودتها عالية, جدا متماسكة و تاريخها يشهد لها من أول نسخة."
neutral,الشكل الجديد كل شيء فيها زين. بس يعيبها الشكل الخارجي و شكل الطاره شين.
positive,الافالون ممتازة خدمة و شكل و فخامة و راحه و تكييف.
positive,افلون و انت مغمض و الله يبارك لك. افضل سيارة بذي الفئة و عزل ممتاز و راحه.
negative,نصيحة مني ابعد عنها مجربها و قطع غيارها متعبة ما تحصلها بسهولة و اذا حصلتها غالية.
negative,عندي فكتوريا 99 عذبتني في البنزين. يا هي تشرب شرب غير طبيعي. غيرت كل شيء و لا زالت الصرفية.
negative,"الفورد داخل المدينة يصرف صرف, شيء معروف."
negative,"عندي فورد فيكتوريا 2001 امريكي, السيارة فجأة صارت ما تشتغل نهائيا حتى السلف ما يدق."
negative,تراه يصرف بنزين حد التانكي 400 كم فقط لا غير.
negative,اصرف النظر نصيحة يبلع البنزين بلع.
negative,"ما انصحك فيه يدمر ميزانيتك بالبنزين, ثقيل جدا, تحدث فيه تهريبات لزيوت القير, يسخن عند تعرضه للضغط كصعود المرتفعات. سيارة زمنها انتهى و تقنياتها قديمة لا تتورط فيها."
negative,الباجيرو قيره يسخن و ما يتحمل.
negative,كانت عندي كرسيدا و كانت تتفتف ثم تطفي وديتها الورشة و طلعت المشكلة من صفاية البنزين.
positive,انصحك تدور على سيارة تكرفها مثل الاكسبلورر صيانته أرخص و عملي أكثر.
